File Creation Date:	2025/07/22 10:54
Operator:	
Company:	
Venue:	
Input Device:	Mikrofon (Umik-1  Gain: 18dB)
Input Channel:	Left
Calibration Date:	2025/07/22 10:23:45
Smaart Software Version:	9.1.6
Log File Version:	6

Max Peak C:	129.01
Max SPL Fast:	124.64
Max SPL A Fast:	113.10
Max SPL C Fast:	114.13
Max SPL Slow:	121.71
Max SPL A Slow:	107.63
Max SPL C Slow:	110.16
Max Leq 1:	99.13*
Max LAeq 1:	99.70*
Max LCeq 1:	98.04*
Max Leq 10:	99.13*
Max LAeq 10:	99.70*
Max LCeq 10:	98.04*
Max Exposure O:	0.50*
Max Exposure N:	2.08*
Number of overloads:	34

Time	Peak C Max	SPL Fast Max	SPL A Fast Max	SPL C Fast Max	SPL Slow Max	SPL A Slow Max	SPL C Slow Max	Leq 1	LAeq 1	LCeq 1	Leq 1 C-A	Leq 10	LAeq 10	LCeq 10	Exposure O	Exposure N	dB FS Max	Overloads	Leq Reset
07/22/2025 10:54:38	103.40	95.30	81.66	84.62	93.40	76.82	79.79	93.42	73.65	77.94	4.29	93.42	73.65	77.94	0.00	0.00	-18.81		
07/22/2025 10:54:41	86.31	95.31	67.48	76.33	93.69	68.62	74.87	93.37	71.22	76.40	5.18	93.37	71.22	76.40	0.00	0.00	-24.82		
07/22/2025 10:54:44	108.66	94.65	85.83	87.56	93.67	78.23	80.62	93.37	72.41	76.93	4.51	93.37	72.41	76.93	0.00	0.00	-16.33		
07/22/2025 10:54:47	107.89	95.20	88.01	90.05	93.74	81.12	83.80	93.38	74.14	78.13	3.98	93.38	74.14	78.13	0.00	0.00	-15.99		
07/22/2025 10:54:50	92.79	96.83	67.93	83.14	94.50	74.74	79.58	93.48	73.33	77.92	4.58	93.48	73.33	77.92	0.00	0.00	-21.31		
07/22/2025 10:54:53	85.65	94.76	65.75	76.45	93.79	67.13	75.67	93.46	72.66	77.46	4.79	93.46	72.66	77.46	0.00	0.00	-24.37		
07/22/2025 10:54:56	87.05	94.60	67.28	76.68	93.51	65.78	74.80	93.41	72.13	77.10	4.98	93.41	72.13	77.10	0.00	0.00	-26.96		
07/22/2025 10:54:59	85.65	94.17	65.35	74.67	93.33	65.44	73.67	93.38	71.67	76.77	5.09	93.38	71.67	76.77	0.00	0.00	-26.18		
07/22/2025 10:55:02	85.89	94.61	67.19	75.66	93.44	65.69	74.55	93.36	71.28	76.55	5.27	93.36	71.28	76.55	0.00	0.00	-25.48		
07/22/2025 10:55:05	98.81	94.73	77.51	79.25	93.42	70.81	75.92	93.34	71.09	76.45	5.36	93.34	71.09	76.45	0.00	0.00	-23.17		
07/22/2025 10:55:08	92.88	94.27	70.55	78.61	93.47	67.77	75.66	93.34	70.82	76.32	5.49	93.34	70.82	76.32	0.00	0.00	-25.66		
